{'mu': 1.0, 'k': 0.1, 'max_u1': 435.02726357165403, 'max_v1': 433.85867563631746, 'max_u2': 7210952.585395476, 'max_v2': 7210951.770585334, 'max_x1': 2.220219179329398, 'max_x2': 3.1732303674880855, 'T': 30.0, 'status': 'bounded'}
{'mu': 1.0, 'k': 1.0, 'max_u1': 268.33014607275743, 'max_v1': 266.9127398483887, 'max_u2': 284887.84952100815, 'max_v2': 284887.56605948805, 'max_x1': 2.220219179329398, 'max_x2': 3.1732303674880855, 'T': 30.0, 'status': 'bounded'}
{'mu': 1.0, 'k': 10.0, 'max_u1': 2.2554278915487544, 'max_v1': 1.6064933643726338, 'max_u2': 3.2960655736273683, 'max_v2': 1.9240539596747819, 'max_x1': 2.220219179329398, 'max_x2': 3.1732303674880855, 'T': 30.0, 'status': 'bounded'}
{'mu': 1.0, 'k': 100.0, 'max_u1': 2.2209262030868016, 'max_v1': 1.572818004894582, 'max_u2': 3.1847440570585137, 'max_v2': 1.824912762097033, 'max_x1': 2.220219179329398, 'max_x2': 3.1732303674880855, 'T': 30.0, 'status': 'bounded'}
{'mu': 1.0, 'k': 1000.0, 'max_u1': 2.2202384401359994, 'max_v1': 1.572010193523426, 'max_u2': 3.174398217001684, 'max_v2': 1.815972844728192, 'max_x1': 2.220219179329398, 'max_x2': 3.1732303674880855, 'T': 30.0, 'status': 'bounded'}
{'mu': 5.0, 'k': 0.1, 'max_u1': 8.186248040208879, 'max_v1': 6.975082252349704, 'max_u2': 2462.4344161708823, 'max_v2': 2459.1496739454474, 'max_x1': 2.0593485931073325, 'max_x2': 8.080348208380954, 'T': np.float64(40.34264097200274), 'status': 'bounded'}
{'mu': 5.0, 'k': 1.0, 'max_u1': 15.306693444860338, 'max_v1': 13.902681794915486, 'max_u2': 3756.9601065337865, 'max_v2': 3754.415968328428, 'max_x1': 2.0593485931073325, 'max_x2': 8.080348208380954, 'T': np.float64(40.34264097200274), 'status': 'bounded'}
{'mu': 5.0, 'k': 10.0, 'max_u1': 2.2058652398828515, 'max_v1': 2.1145843490963885, 'max_u2': 8.83123335702859, 'max_v2': 7.785149498386948, 'max_x1': 2.0593485931073325, 'max_x2': 8.080348208380954, 'T': np.float64(40.34264097200274), 'status': 'bounded'}
{'mu': 5.0, 'k': 100.0, 'max_u1': 2.060851971748975, 'max_v1': 1.9751114590093057, 'max_u2': 8.130858359050759, 'max_v2': 7.126186526284396, 'max_x1': 2.0593485931073325, 'max_x2': 8.080348208380954, 'T': np.float64(40.34264097200274), 'status': 'bounded'}
{'mu': 5.0, 'k': 1000.0, 'max_u1': 2.0593747412132113, 'max_v1': 1.973628190045558, 'max_u2': 8.085373678728523, 'max_v2': 7.08128853479399, 'max_x1': 2.0593485931073325, 'max_x2': 8.080348208380954, 'T': np.float64(40.34264097200274), 'status': 'bounded'}
{'mu': 20.0, 'k': 0.1, 'max_u1': 11.550009960150522, 'max_v1': 10.314516133363677, 'max_u2': 27224.967398738532, 'max_v2': 27212.72452583348, 'max_x1': 2.0134173340902546, 'max_x2': 27.29886100276635, 'T': np.float64(161.37056388801096), 'status': 'bounded'}
{'mu': 20.0, 'k': 1.0, 'max_u1': 2.050292710536379, 'max_v1': 0.8147988836818301, 'max_u2': 80.31887294513197, 'max_v2': 68.07600004022129, 'max_x1': 2.0134173340902546, 'max_x2': 27.29886100276635, 'T': np.float64(161.37056388801096), 'status': 'bounded'}
{'mu': 20.0, 'k': 10.0, 'max_u1': 3.4514242362392515, 'max_v1': 3.4226383038529993, 'max_u2': 50.04324165034783, 'max_v2': 50.068223144497196, 'max_x1': 2.0134173340902546, 'max_x2': 27.29886100276635, 'T': np.float64(161.37056388801096), 'status': 'bounded'}
{'mu': 20.0, 'k': 100.0, 'max_u1': 2.018524867524859, 'max_v1': 2.0062350174271226, 'max_u2': 27.526654499211055, 'max_v2': 27.135825381992706, 'max_x1': 2.0134173340902546, 'max_x2': 27.29886100276635, 'T': np.float64(161.37056388801096), 'status': 'bounded'}
{'mu': 20.0, 'k': 1000.0, 'max_u1': 2.0134748607794637, 'max_v1': 2.001212553759287, 'max_u2': 27.313505620706145, 'max_v2': 26.972589044046444, 'max_x1': 2.0134173340902546, 'max_x2': 27.29886100276635, 'T': np.float64(161.37056388801096), 'status': 'bounded'}
