{'A': 1.0, 'B': 3.0, 'k': 0.01, 'max_u1': 12.24261738232387, 'max_v1': 12.011702205902667, 'max_u2': 11.59638858465014, 'max_v2': 11.305259908737504, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 3.7684735770105133, 'max_x2_orig': 4.735945395895093, 'all_finite': False}
{'A': 1.0, 'B': 3.0, 'k': 0.1, 'max_u1': 6.039161148156874, 'max_v1': 5.808245971735679, 'max_u2': 5.434656614168623, 'max_v2': 5.143527938255987, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 3.7684735770105133, 'max_x2_orig': 4.735945395895093, 'all_finite': False}
{'A': 1.0, 'B': 3.0, 'k': 1.0, 'max_u1': 13.909368912363828, 'max_v1': 13.675424546492472, 'max_u2': 13.46979158829839, 'max_v2': 13.154824847071477, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 3.7684735770105133, 'max_x2_orig': 4.735945395895093, 'all_finite': False}
{'A': 1.0, 'B': 3.0, 'k': 10.0, 'max_u1': 6.205111035426854, 'max_v1': 5.893334617644394, 'max_u2': 7.6370992084540354, 'max_v2': 4.835400738442602, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 3.7684735770105133, 'max_x2_orig': 4.735945395895093, 'all_finite': False}
{'A': 1.0, 'B': 3.0, 'k': 100.0, 'max_u1': 3.8151461239632924, 'max_v1': 0.046676428441234666, 'max_u2': 4.740838699916598, 'max_v2': 0.14715085493883032, 'final_v1': 0.04231452274901884, 'final_v2': 0.0032971129738166905, 'max_x1_orig': 3.7684735770105133, 'max_x2_orig': 4.735945395895093, 'all_finite': True}
{'A': 1.0, 'B': 3.0, 'k': 1000.0, 'max_u1': 3.7725354690136808, 'max_v1': 0.004062061654428989, 'max_u2': 4.736354144055623, 'max_v2': 0.014244642537881455, 'final_v1': 0.004022040150656675, 'final_v2': 0.0002456164493293847, 'max_x1_orig': 3.7684735770105133, 'max_x2_orig': 4.735945395895093, 'all_finite': True}
{'A': 1.0, 'B': 5.0, 'k': 0.01, 'max_u1': 6.891571671917258, 'max_v1': 6.73308472415019, 'max_u2': 6.426355087093527, 'max_v2': 6.150228322563737, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 9.50080341141995, 'max_x2_orig': 10.096457162694398, 'all_finite': False}
{'A': 1.0, 'B': 5.0, 'k': 0.1, 'max_u1': 5.411919200228101, 'max_v1': 5.253432252461035, 'max_u2': 4.969539906428576, 'max_v2': 4.6934131418987866, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 9.50080341141995, 'max_x2_orig': 10.096457162694398, 'all_finite': False}
{'A': 1.0, 'B': 5.0, 'k': 1.0, 'max_u1': 5.962222459283018, 'max_v1': 5.802674965234479, 'max_u2': 5.630685022886009, 'max_v2': 5.338797241968714, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 9.50080341141995, 'max_x2_orig': 10.096457162694398, 'all_finite': False}
{'A': 1.0, 'B': 5.0, 'k': 10.0, 'max_u1': 6.136699095030299, 'max_v1': 5.9626310438809424, 'max_u2': 6.882196987304257, 'max_v2': 5.268046236653213, 'final_v1': nan, 'final_v2': nan, 'max_x1_orig': 9.50080341141995, 'max_x2_orig': 10.096457162694398, 'all_finite': False}
{'A': 1.0, 'B': 5.0, 'k': 100.0, 'max_u1': 9.656940519651004, 'max_v1': 0.15658715960372813, 'max_u2': 10.100141400106244, 'max_v2': 0.9519968475550011, 'final_v1': 0.06508640452724271, 'final_v2': 0.0018842300793365616, 'max_x1_orig': 9.50080341141995, 'max_x2_orig': 10.096457162694398, 'all_finite': True}
